timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,initiator_spi,responder_spi,next_payload,exchange_type,flags,message_id,next_payload2,domain_of_interpretation,protocol_id,spi_size,notify_message_type
3/24/2018 0:25,125.234.236.170,udp,500,125.234.236.170.hcm.viettel.vn,isakmp-vulnerable,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,716268f23f7a7a91,11,5,0,0,0,0,,0,14
3/24/2018 0:25,118.69.195.237,udp,500,237.195.69.118.blueflame.vn,isakmp-vulnerable,18403,VN,HA NOI,HANOI,518111,737401,3e35c70729dfedef,7241fc66ffd114ac,11,5,0,0,0,0,,0,14
3/24/2018 0:25,118.70.81.28,udp,500,,isakmp-vulnerable,18403,VN,HA NOI,HANOI,518111,737401,3e35c70729dfedef,822e0787c9a3ed42,11,5,0,0,0,0,,0,14
3/24/2018 0:25,113.190.233.184,udp,500,static.vnpt-hanoi.com.vn,isakmp-vulnerable,45899,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,ca7600d227ebb823,11,5,0,0,0,0,,0,14
3/24/2018 0:25,14.176.232.179,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,DA NANG,DA NANG,0,0,3e35c70729dfedef,0bd09a48d6f89e0c,11,5,0,0,0,0,,0,14
3/24/2018 0:25,42.112.17.146,udp,500,,isakmp-vulnerable,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,518111,737401,3e35c70729dfedef,39b1875b86dfc239,11,5,0,0,0,0,,0,14
3/24/2018 0:25,101.99.44.213,udp,500,,isakmp-vulnerable,45903,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,87d74122ead13433,11,5,0,0,0,0,,0,14
3/24/2018 0:25,113.190.96.183,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,5ba7f914ad87d5de,11,5,0,0,0,0,,0,14
3/24/2018 0:25,116.97.244.231,udp,500,,isakmp-vulnerable,7552,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,85cca0501108d454,11,5,0,0,0,0,,0,14
3/24/2018 0:26,182.237.21.213,udp,500,,isakmp-vulnerable,55309,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,5bb3795ccda45267,11,5,0,0,0,0,,0,14
3/24/2018 0:26,113.161.16.200,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,4318deeff650e67e,11,5,0,0,0,0,,0,14
3/24/2018 0:26,123.30.100.194,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,129b6e56e021eb55,11,5,0,0,0,0,,0,14
3/24/2018 0:26,113.165.167.188,udp,500,static.vdc.com.vn,isakmp-vulnerable,45899,VN,LAM DONG,DA LAT,0,0,3e35c70729dfedef,4180061c02bb182a,11,5,0,0,0,0,,0,14
